Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Stress Intensity (MPa)
1954	5500.	2800.	0.	1.099e-004
1955	5500.	3400.	0.	2.8397e-005
1956	4300.	2000.	0.	3.6103e-004
1957	4200.	2000.	0.	3.5994e-004
1958	4300.	2100.	0.	3.6022e-004
1959	4300.	1900.	0.	3.6151e-004
1960	4200.	1900.	0.	3.5849e-004
1961	4200.	2100.	0.	3.6111e-004
1962	4300.	2200.	0.	3.5896e-004
1963	4300.	1800.	0.	3.617e-004
1964	4200.	1800.	0.	3.568e-004
1965	4200.	2200.	0.	3.6194e-004
1966	4300.	2300.	0.	3.5717e-004
1967	4300.	1700.	0.	3.6163e-004
1968	4200.	1700.	0.	3.5487e-004
1969	4200.	2300.	0.	3.6234e-004
1970	4300.	2400.	0.	3.547e-004
1971	4300.	1600.	0.	3.6131e-004
1972	4200.	1600.	0.	3.5266e-004
1973	4200.	2400.	0.	3.6219e-004
1974	4300.	2500.	0.	3.5139e-004
1975	4300.	1500.	0.	3.6066e-004
1976	4200.	1500.	0.	3.5007e-004
1977	4200.	2500.	0.	3.6135e-004
1978	4300.	2600.	0.	3.4707e-004
1979	4300.	1400.	0.	3.5956e-004
1980	4200.	1400.	0.	3.4694e-004
1981	4200.	2600.	0.	3.5962e-004
1982	4300.	2700.	0.	3.4152e-004
1983	4300.	1300.	0.	3.578e-004
1984	4200.	1300.	0.	3.4306e-004
1985	4200.	2700.	0.	3.568e-004
1986	4300.	2800.	0.	3.3451e-004
1987	4200.	1200.	0.	3.3812e-004
1988	4200.	2800.	0.	3.5261e-004
1989	4300.	2900.	0.	3.2575e-004
1990	4300.	1100.	0.	3.5092e-004
1991	4200.	1100.	0.	3.3173e-004
1992	4200.	2900.	0.	3.4672e-004
1993	4300.	3000.	0.	3.149e-004
1994	4300.	1000.	0.	3.4477e-004
1995	4200.	1000.	0.	3.234e-004
1996	4200.	3000.	0.	3.3874e-004
1997	4300.	3100.	0.	3.0156e-004
1998	4300.	900.	0.	3.359e-004
1999	4200.	900.	0.	3.1265e-004
2000	4200.	3100.	0.	3.2815e-004
2001	4300.	3200.	0.	2.853e-004
2002	4300.	800.	0.	3.2348e-004
2003	4200.	800.	0.	2.9904e-004
2004	4200.	3200.	0.	3.1436e-004
2005	4300.	3300.	0.	2.6558e-004
2006	4300.	700.	0.	3.0675e-004
2007	4200.	700.	0.	2.825e-004
2008	4200.	3300.	0.	2.9664e-004
2009	4400.	3100.	0.	2.759e-004
2010	4400.	2900.	0.	3.044e-004
2011	4400.	2700.	0.	3.2499e-004
2012	4400.	2500.	0.	3.3958e-004
2013	4400.	2300.	0.	3.4976e-004
2014	4400.	2200.	0.	3.5362e-004
2015	4400.	2100.	0.	3.5684e-004
2016	4400.	2000.	0.	3.5956e-004
2017	4400.	1900.	0.	3.6189e-004
2018	4400.	1700.	0.	3.6573e-004
2019	4400.	1600.	0.	3.6733e-004
2020	4400.	1500.	0.	3.6873e-004
2021	4400.	1300.	0.	3.7049e-004
2022	4400.	1200.	0.	3.7041e-004
